Smiles	Is_Nature_Product	Np Likeness Score
C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(=O)O)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C	1	
Cc1cccc(CN2CCc3cc(C(=O)O)c(N(C)C)nc3CC2)n1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F	0	-1.46
COC(=O)c1cc(OC)cc(OC(=O)c2c(O)cc3cc(C)oc(=O)c3c2O)c1O	1	0.79
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1O)C(=O)c1cccc(O)c1C3=O	1	1.3
Cc1ccc(/C=N/Nc2nncc(-c3ccccc3)n2)o1	0	-2.04
CC(C)[C@@H]1CN(S(=O)(=O)Cc2ccccc2)C[C@H]1C(=O)O	0	-0.62
COc1ccc(N2CCN(C(=O)CCCC(=O)c3ccccc3)CC2)cc1	0	-1.03
COC(=O)CCC(C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	0	2.64
CCC(=O)OC1(c2cccc(O)c2)CCN(C)CC1	0	0.69
Fc1ccc(-c2ccc3c(-c4cccnc4)cccc3c2)cc1	0	-0.85
CC(=O)N[C@@H](CCCNC(=O)C[C@@H](N)CCCNC(=O)C[C@@H](N)CCCN)CC(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@@H](COC(N)=O)O[C@H]1/N=C1\N[C@H]([C@H](O)CN)[C@@H](C(=O)O)N1	1	1.15
O=C(CSc1nnc(COc2cccc3cccnc23)o1)N1CCN(C(=O)c2ccco2)CC1	0	-2.12
COc1ccc(NCc2nc3ccc(Br)cc3[nH]2)cc1	0	-1.45
CC(C)=C[C@@H](O)C1=C[C@@H](O)[C@@H]2O[C@@H]2C1=O	1	3.38
CNc1cccc(-c2c(-c3ccc4nn(C)cc4c3)nsc2NC(=O)[C@@H]2C[C@H]2C)n1	0	-1.37
C/C(=N\OCCOc1ccc(C[C@H]2CO[C@@](C)(C(=O)O)OC2)cc1)c1ccc(C)cc1	0	-0.17
CCC[C@H]1C[C@H](O)[C@@]2(OC(=O)c3c2cc(OC)c(OC)c3O)O1	1	1.96
CC(C)(C)Nc1nc2c(-c3cc4c([nH]3)CCNC4=O)cccc2nc1C#N	0	-0.68
CC(C)Cc1ncc(-c2c[nH]c3ccccc23)o1	1	-0.36
COc1ccc2c3c1OC1C(=O)C=CC4(N(O)c5ccc(F)cc5)C(C2)N(C)CCC314	0	0.83
CCN(Cc1cc(=O)n2c(CO)c(C)sc2n1)c1ccc(F)cc1	0	-1.84
O=C(Nc1ccccc1C(=O)NC(CCCc1ccccc1)C(=O)O)c1cc2ccccc2[nH]1	0	-0.65
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](COS(N)(=O)=O)[C@@H](O)[C@H]1O	1	0.59
CCC1=CN2C(=O)c3ccc(OC)c(O)c3NC(=O)[C@@H]2C1	1	1.24
CCCc1c(O)n(Cc2ccc(F)cc2)c2nc3c(n2c1=O)C(=O)N(C)CN3C	0	-0.67
COc1cnc(C2CCCc3c4[nH]c5ccccc5c4c(OC)c[n+]32)c2[nH]c3ccccc3c12	0	0.94
COCc1c(O)c(O)c(O)c2c1CO[C@H]2[C@H]1OC(O)c2c(C)c(O)c(O)c(O)c21	1	1.79
C[C@@H]1CO[C@@H]2c3c(O)cc4scnc4c3C[C@H]3[C@H](C(=O)O)CC[C@H]4[C@@H]1CC[C@@]243	1	1.62
CCCCCCCc1cc(O)cc(O[C@@H]2O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]2O)c1	1	2.02
O=c1cnc(CCc2ccccc2)c2n1CCC2	1	-0.79
C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2	1	1.87
CC(C)NC(=O)Nc1cccc(CN2CCCCC(NC(=O)Nc3ccccc3)C2=O)c1	0	-1.39
COc1ccc(/C=C/C(=O)N(/N=N/c2cc(C(F)(F)F)ccc2Cl)c2cc(C(F)(F)F)ccc2Cl)cc1OC	0	-0.69
COC(=O)COc1ccc(C(=O)C2=C(O)[C@]3(CC=C(C)C)C[C@@H](C/C=C(\C)CCC=C(C)C)[C@](C)(CCC=C(C)C)[C@](CC=C(C)C)(C2=O)C3=O)cc1OCC(=O)O	0	1.66
OC/C=C(\Cc1ccccc1)c1ccccn1	1	-0.12
CCOC(=O)c1cc(NC(=O)c2ccccc2)c(=O)n2c(cc3c(Cl)cccc32)c1O	0	-0.95
CCCCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@H]4C3=C[C@H](O)[C@@]2(O)C1	1	2.08
COc1ccc(F)c(-c2ccc3c(NC(=O)c4ccc(N5CCN(C)CC5)cc4)n[nH]c3c2)c1F	0	-1.39
NC1CCN(Cc2cccc(-c3ccc(-c4nc5ccccc5[nH]4)cc3)c2)C1.O=C(O)C(F)(F)F	0	-1.12
O=C(Nc1nc(-c2cccc(C(F)(F)F)c2F)cs1)c1ccc(Nc2ncncn2)cc1	0	-1.83
C[S+]([O-])CCCN1CC=C(CC[C@H]2/C(=C/OS(=O)(=O)[O-])CC[C@H]3[C@]2(C)CC[C@H]2C(C)(C)CCC[C@]32C)C1=O.[Na+]	0	2.44
COCc1cc(O)c2c(c1O)[C@@]1(C)CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1C2	1	2.54
C[C@H](O)Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O	1	1.52
CC1C(=O)C(=O)C=CN1C	0	0.78
CCCN(CCC)C(=O)C1=Cc2ccc(C(=O)Nc3ccc(C)cc3)cc2N=C(N)C1	0	-1.04
Cc1c(O)cc(O)c2c1C[C@@H](CCCCCCC(=O)O)OC2=O	1	1.74
CCCN(CCC)S(=O)(=O)c1cccc(C(=O)Nc2ccccc2C(=O)O)c1	0	-1.67
CC(C)(O)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4Cc5c([nH]c6ccccc56)[C@@]43C)C2=CC1=O	1	2.66
C=C=CCOc1ccc(COc2ccc(C(=O)OC)cc2)cc1	1	0.08
C=C(C)[C@H]1O[C@H]2CC[C@@]3(C)[C@@](O)(CC[C@H]4[C@@H]5OC(C)(C)[C@H]6C[C@@H]7C(=C)Cc8ccc9[nH]c(c5c9c8[C@@]76O)[C@@]43C)[C@]23O[C@@H]3[C@H]1O	1	2.57
CC(C)(C)OC(=O)n1cc(CNC(=S)NC2CCCCC2)c2ccccc21	0	-1.25
Cc1nc(C(=O)NNC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)cc2c1[nH]c1ccccc12	0	-0.38
O=C(O)c1ccc(-n2nc(Cc3c(Cl)cccc3Cl)c3ccccc32)cc1	0	-0.95
Cc1nc2ccccc2c2cc[nH]c12	1	-0.17
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	1	-0.11
CC(=O)/C=C(O)/C(=C\c1ccc(O)c(O)c1)c1c(O)cc(/C=C/c2ccc(O)c(O)c2)oc1=O	1	0.76
CCn1cc(/C=C(\NC(=O)c2ccccc2OC)C(=O)NCCCn2ccnc2)c2ccccc21	0	-1.65
CN(/N=C/c1cccc2cccnc12)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]	0	-1.13
COc1cc(OC)c2c(c1C)[C@](C)(O)[C@H](C)OC2=O	1	1.45
COc1ccccc1NC(=O)CCC(=O)N(Cc1ccc(OC)c(OC)c1)c1nccs1	0	-1.64
c1ccc2c3c([nH]c2c1)C1CCCCN1CC3	0	0.17
O=CC1=CCC[C@@H](C(=O)O)[C@@]2(C1)Oc1ccc(O)cc1C2=O	1	1.79
CC1(C)OC(C(N)=O)C(C(N)=O)O1	0	0.61
COCc1ccc(O)c(NC(C)=O)c1	1	-0.52
O=C1C=C[C@]23Oc4ccc(O)c5c4[C@](CCC5=O)(Oc4cccc1c42)O3	1	2.17
O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1nn(CC2CC2)nc1O	0	-0.93
C=C1CC[C@H](Cl)C(C)(C)[C@@H]1C[C@@]12OC(C)(C)[C@H](Cl)C=C1C(=O)c1c(cc(O)c(C)c1O)C2=O	1	2.84
